0.69,0.92,0,0.03,0.28,0.12,0.5,0.26,1
0.77,0.73,0,0,0.24,0.11,0.4,0.29,1
0.6,0.38,0,0,0.38,0.06,0.4,0.39,0
0.6,0.56,0,0,0.26,0.02,0,0.55,0
0.87,0.96,0,0.02,0.26,0.13,0.8,0.33,1
0.9,0.98,0,0,0.23,0.07,0.6,0.32,1
0.47,0.36,0.03,0,0.34,0.07,0.2,0.28,0
0.63,0.42,0,0.04,0.29,0.06,0,0.30,0
0.67,0.27,0,0.04,0.31,0.05,0,0.53,0
0.6,0.47,0,0,0.62,0.11,0,0.40,0
0.83,0.84,0.03,0.07,0.27,0.06,0.5,0.47,1
0.77,0.96,0.07,0,0.27,0.07,0.8,0.42,1
0.83,0.71,0,0.02,0.28,0.07,0.6,0.28,1
0.72,0.81,0.07,0,0.26,0.17,0.75,0.27,1
0.7,0.91,0.03,0.04,0.26,0.09,0.75,0.00,2
0.8,0.96,0.03,0.02,0.27,0.03,0.6,0.00,2
0.78,0.88,0.07,0.06,0.28,0.08,1,0.30,1
0.83,0.93,0,0,0.28,0.06,0.6,0.44,1
0.87,0.82,0,0,0.33,0.02,0.6,0.37,1
0.97,0.96,0.03,0,0.26,0.05,0.6,0.00,2
0.93,0.93,0,0.02,0.23,0.12,0.6,0.00,2
0.44,0.39,0,0.03,0.46,0.12,0.25,0.20,0
0.7,0.91,0,0,0.27,0.04,0.2,0.00,2
0.77,0.91,0.03,0,0.25,0.02,0.6,0.00,2
0.89,0.86,0,0.05,0.29,0.12,1,0.00,2
0.8,0.98,0,0,0.33,0.14,0.75,0.00,2
0.57,0.6,0,0,0.34,0.05,0.4,0.29,0
0.6,0.58,0.03,0,0.33,0.06,0.4,0.24,0
0.87,0.8,0.03,0.02,0.29,0.05,0.6,0.38,1
0.87,0.89,0,0,0.28,0.03,0.4,0.37,1
0.8,0.69,0,0,0.28,0.08,0.4,0.34,1
0.5,0.58,0.03,0,0.00,0.02,0,0.35,0
0.5,0.63,0.13,0,0.26,0.05,0,0.28,0
0.83,0.69,0,0.07,0.31,0.05,0.6,0.37,1
0.83,0.73,0,0,0.27,0.06,0.6,0.35,1
0.57,0.58,0,0.02,0.23,0.1,0,0.40,0
0.7,0.6,0,0,0.00,0.06,0,0.36,0
0.88,0.76,0,0.08,0.46,0.22,0.5,0.62,1
0.77,0.67,0,0.02,0.25,0.14,0.4,0.47,1
0.74,0.71,0.04,0,0.44,0.17,0,0.20,0
0.33,0.68,0.04,0.06,0.30,0.09,0.25,0.28,0
0.53,0.62,0,0,0.32,0.02,0.4,0.33,0
0.73,0.87,0.03,0,0.26,0.08,0.6,0.26,1
0.7,0.76,0,0.02,0.33,0.04,0.4,0.26,1
0.5,0.59,0.03,0.02,0.34,0.08,0.25,0.26,0
0.53,0.56,0,0,0.30,0.05,0.2,0.23,0
0.4,0.38,0.03,0.02,0.32,0.02,0,0.44,0
0.48,0.73,0.13,0,0.34,0.11,0,0.22,0
0.46,0.64,0.04,0.05,0.36,0.09,0,0.20,0
0.32,0.19,0.05,0.06,0.37,0.08,0,0.38,0
0.43,0.47,0.03,0.04,0.33,0.02,0,0.52,0
0.23,0.38,0.03,0.02,0.63,0.04,0,0.42,0
0.62,0.72,0.03,0,0.33,0.15,0.5,0.37,1
0.13,0.38,0.1,0.03,0.38,0.04,0,0.39,0
0.47,0.62,0.03,0.07,0.32,0.05,0,0.39,0
0.7,0.73,0,0,0.34,0,0.4,0.39,1
0.8,0.96,0,0,0.23,0.08,0.6,0.35,1
0.63,0.36,0,0,0.32,0.08,0,0.30,0
0.57,0.58,0.03,0,0.31,0.07,0.2,0.30,0
0.8,0.93,0,0,0.23,0,0.6,0.00,2
0.77,0.84,0,0,0.00,0,0.2,0.00,2
0.73,0.78,0,0,0.31,0.07,0.4,0.35,1
0.73,0.78,0,0.05,0.27,0.16,0.5,0.37,1
0.63,0.64,0,0,0.29,0.13,0,0.31,0
0.7,0.64,0,0,0.29,0.06,0.4,0.26,1
0.6,0.69,0,0.02,0.29,0.04,0,0.35,0
0.63,0.64,0,0,0.31,0.06,0.2,0.37,0
0.8,0.89,0,0.02,0.25,0.07,0,0.27,0
0.67,0.8,0.17,0.02,0.29,0.04,0.75,0.28,1
