1,0,0,0.23,0,1,0.33,2
1,0,0,0.23,0,1,0.24,2
1,0,0,0.23,0,1,0.40,2
0.67,0,0,0.00,0,0,0.57,1
1,0,0,0.00,0,1,0.35,2
1,0,0,0.23,0,1,0.30,2
1,0,0,0.31,0,1,0.19,2
1,0,0,0.27,0.33,0,0.27,1
1,0,0,0.00,0,0,0.81,1
0.33,0,0,0.00,0,0,0.18,0
1,0,0,0.23,0,1,0.64,2
1,0,0,0.27,0,1,0.32,2
1,0,0,0.23,0,1,0.30,2
1,0,0,0.23,0,1,0.33,2
1,0,0,0.23,0,1,0.00,2
1,0,0,0.23,0,1,0.00,2
1,0,0,0.26,0,1,0.35,2
1,0,0,0.23,0.5,1,0.24,2
1,0,0,0.23,0,1,0.43,2
1,0,0,0.27,0,1,0.30,2
1,0,0,0.23,0,1,0.00,2
1,0,0,0.23,0,1,0.00,2
0,0,0.33,0.23,0.33,0,0.12,0
1,0,0,0.31,0,1,0.23,2
1,0,0,0.23,0,1,0.00,2
1,0,0,0.23,0,1,0.00,2
1,0,0,0.38,0,1,0.00,2
1,0,0,0.31,0,1,0.00,2
1,0,0,0.23,0,1,0.30,2
1,0,0,0.23,0,1,0.18,2
1,0,0,0.31,0,0,0.39,1
1,0,0,0.27,0,0,0.33,1
0.33,1,0.33,0.23,0,0,0.50,0
0.67,0.5,0,0.23,0.2,0,0.41,1
1,0,0,0.27,0,1,0.39,2
1,0,0,0.23,0,1,0.38,2
1,0,0,0.00,0.5,1,0.35,2
0.67,0,0,0.00,0,0,0.33,1
1,0,0,0.27,1,1,0.18,2
1,0.5,0,0.23,0.67,1,0.27,2
0,0,0,0.31,0.25,0,0.10,0
1,0.5,0,0.23,0,1,0.26,2
0,0,0,0.62,0,0,0.28,0
0.33,0,0,0.23,0,0,0.19,0
1,0,0,0.00,0,1,0.45,2
1,0,0,0.23,0.33,1,0.23,2
0.33,0,0,0.31,0,0,0.32,0
1,0,0,0.26,0,1,0.40,2
0.67,0,0,0.23,0.25,0,0.30,1
1,0,0,0.00,0.33,0,0.35,1
0.67,0,0,0.46,0,0,0.57,1
1,0,0,0.23,0,1,0.49,2
0.33,0.5,0,0.62,0.2,0,0.23,0
1,0,0,0.31,0.5,1,0.12,2
1,0,0,0.00,0,1,0.28,2
1,0,0,0.23,0,1,0.42,2
1,0,0,0.23,0,1,0.23,2
1,0,0,0.23,0,1,0.24,2
1,0,0,0.31,0,1,0.19,2
1,0,0,0.23,0,1,0.17,2
1,0,0,0.28,0.17,0,0.40,1
0,0,0,0.38,0.17,0,0.36,0
0.33,0.5,0,0.23,0,0,0.25,0
0.67,0,0.33,0.00,0,0,0.18,1
0,0,0,1.00,0,0,0.24,0
0.67,0,0,0.31,0,0,0.52,1
1,0,0,0.00,0.17,0,0.40,1
1,0,0,0.23,0,1,0.37,2
1,0,0,0.23,0,0,0.31,1
0.67,0,0,0.42,0,0,0.40,1
1,0,0,0.23,0,1,0.50,2
1,0,0,0.00,0,1,0.35,2
0,0,0,0.38,0,0,0.21,0
1,0,0,0.23,0,1,0.28,2
1,0,0,0.23,0,1,0.03,2
1,0,0,0.00,0,0,0.00,1
1,0,0,0.00,0,1,0.33,2
1,0,0,0.00,0,1,0.33,2
0.67,0,0,0.31,0,0,0.40,1
1,0,0,0.23,0,1,0.14,2
1,0,0,0.23,0,0,0.30,1
1,0,0,0.31,0,1,0.30,2
1,0,0,0.23,0,0,0.24,1
1,0.5,0,0.23,0.33,1,0.31,2
1,0,0,0.00,0,1,0.42,2
1,0,0,0.00,0,1,0.31,2
