0.35,0.04,0,0.39,0.03,0.25,0.43,0
0.88,0,0.01,0.23,0.03,0.38,0.34,1
0.9,0.02,0.04,0.28,0.05,0.43,0.00,2
0.73,0.02,0,0.33,0.05,0.38,0.43,1
0.86,0.02,0,0.26,0.07,0.5,0.00,2
0.77,0,0.01,0.23,0.1,0.38,0.00,2
0.88,0.04,0,0.27,0.05,0.57,0.00,2
0.85,0,0.01,0.32,0.06,0.25,0.38,1
0.56,0.02,0,0.33,0.04,0.25,0.33,0
0.54,0,0.01,0.35,0.02,0.25,0.32,0
0.74,0.02,0.01,0.31,0.05,0.43,0.27,1
0.29,0.02,0.03,0.36,0.01,0,0.39,0
0.4,0.04,0.04,0.35,0.01,0,0.55,0
0.64,0.02,0,0.36,0.02,0.25,0.38,0
0.9,0,0,0.23,0.07,0.5,0.38,1
0.46,0.02,0,0.34,0.05,0.14,0.29,0
0.82,0,0,0.23,0.05,0.38,0.00,2
0.81,0,0,0.27,0.03,0.12,0.00,1
0.53,0,0,0.32,0.03,0.12,0.37,0
