0.52,0.33,0,0,0.39,0.03,0.29,0.42,0
0.87,0.93,0,0.01,0.23,0.04,0.43,0.33,2
0.85,0.93,0.02,0.04,0.28,0.04,0.43,0.00,2
0.78,0.77,0.02,0,0.35,0.06,0.43,0.41,2
0.96,0.84,0.02,0,0.27,0.07,0.43,0.00,2
0.91,0.75,0,0.01,0.23,0.09,0.43,0.00,2
0.72,0.88,0.04,0,0.27,0.03,0.57,0.00,2
0.49,0.47,0.02,0,0.39,0.06,0.33,0.24,0
0.83,0.83,0,0.01,0.32,0.07,0.29,0.38,2
0.72,0.62,0,0,0.34,0.04,0.29,0.33,1
0.7,0.54,0.02,0.05,0.32,0.04,0.5,0.43,1
0.57,0.54,0,0.01,0.34,0.02,0.29,0.32,1
0.63,0.8,0.02,0,0.30,0.05,0.43,0.26,2
0.33,0.3,0.02,0.01,0.36,0.01,0,0.40,0
0.48,0.42,0.04,0.04,0.35,0.01,0,0.54,0
0.59,0.61,0.02,0,0.37,0.01,0.29,0.39,1
0.8,0.91,0,0,0.23,0.08,0.57,0.37,2
0.46,0.46,0.02,0,0.32,0.05,0.14,0.30,0
0.78,0.83,0,0,0.23,0.05,0.43,0.00,2
0.76,0.81,0,0,0.23,0.03,0.14,0.00,2
0.61,0.52,0,0,0.32,0.03,0.14,0.37,1
