1,0,0,0.26,0.1,0.67,0.29,2
1,0,0,0.23,0.14,0.67,0.33,2
0.72,0,0,0.25,0.18,0.67,0.36,2
0.72,0,0,0.23,0,0,0.56,1
1,0,0,0.27,0.08,1,0.29,2
1,0,0,0.23,0.11,1,0.31,2
0.44,0,0,0.32,0.04,0.33,0.28,1
0.72,0,0,0.29,0.06,0,0.27,1
0.44,0,0,0.31,0.06,0,0.69,1
0.5,0,0,0.00,0.13,0,0.44,0
1,0.08,0,0.27,0.12,0.67,0.50,2
1,0,0,0.29,0,1,0.37,2
0.94,0,0.06,0.25,0,1,0.29,2
1,0.08,0,0.28,0.14,1,0.25,2
1,0,0,0.25,0,1,0.00,2
1,0,0,0.26,0,1,0.00,2
1,0,0,0.27,0.09,1,0.33,2
0.94,0,0.06,0.28,0.23,1,0.28,2
1,0,0,0.26,0.14,1,0.44,2
1,0,0,0.31,0,1,0.34,2
0.94,0,0,0.26,0,0.67,0.00,2
1,0,0,0.23,0,1,0.00,2
0.22,0.08,0.11,0.46,0.05,0,0.15,1
0.5,0,0,0.42,0.08,0.33,0.19,1
1,0,0,0.27,0,0.33,0.00,2
1,0,0,0.24,0,0.67,0.00,2
1,0,0,0.31,0.06,1,0.00,2
1,0,0,0.31,0.23,1,0.00,2
0.72,0,0,0.38,0.05,0.67,0.30,2
1,0,0,0.31,0.06,0.67,0.23,2
0.83,0,0,0.32,0.18,0,0.31,1
0.73,0.11,0.09,0.34,0.29,0,0.25,0
0.33,0.44,0.33,0.25,0,0,0.53,0
1,0.08,0,0.28,0.12,1,0.40,2
1,0,0,0.28,0.11,0.67,0.34,2
0.94,0,0,0.27,0.1,0.67,0.33,2
0.72,0,0,0.00,0,0,0.32,0
0.89,0.17,0.11,0.26,0.14,0.67,0.25,2
0.87,0.18,0.07,0.26,0.24,0.5,0.27,2
0.61,0.08,0,0.42,0.19,0.33,0.15,1
0.94,0.17,0,0.27,0.12,0.67,0.18,2
0.44,0.08,0.06,0.38,0.04,0,0.30,1
0.61,0.08,0,0.26,0.05,0,0.25,1
0.94,0,0.06,0.31,0.14,1,0.32,2
1,0,0,0.27,0.09,0.67,0.31,2
0.67,0.08,0.06,0.27,0.26,0.5,0.31,2
0.61,0.08,0.06,0.26,0.19,0.67,0.34,2
0.61,0,0.06,0.23,0.11,0,0.33,0
0.72,0,0,0.00,0.11,0,0.39,0
0.83,0,0.06,0.46,0.33,0.33,0.60,2
0.72,0,0,0.25,0.18,0.67,0.39,2
0.78,0.08,0,0.54,0.14,0,0.23,1
0.78,0.08,0,0.31,0.18,0.67,0.14,2
0.67,0.08,0.11,0.29,0.14,0.33,0.27,0
0.78,0,0,0.28,0,0.67,0.35,2
1,0,0,0.26,0,1,0.23,2
0.94,0,0,0.31,0,0.67,0.24,2
0.72,0,0.06,0.33,0.04,0.33,0.24,0
0.89,0,0,0.28,0.11,0.33,0.22,0
0.28,0,0,0.65,0.03,0,0.41,1
0.56,0,0,0.41,0.07,0,0.52,1
0.67,0.17,0,0.36,0.06,0,0.23,1
0.83,0,0.11,0.37,0,0,0.20,0
0.28,0,0.06,0.41,0.08,0,0.38,1
0.44,0,0.06,0.31,0,0,0.53,1
0.61,0,0,0.63,0.06,0,0.40,1
0.83,0,0,0.31,0.1,0.67,0.35,2
0.67,0.08,0,0.37,0.04,0,0.38,0
0.94,0,0,0.32,0.04,0,0.34,0
0.94,0,0,0.28,0,0.67,0.40,2
1,0,0,0.23,0.12,1,0.33,2
0.5,0,0,0.33,0.07,0,0.27,1
0.67,0,0,0.29,0,0.33,0.28,1
1,0,0,0.23,0,0.67,0.01,2
1,0,0,0.00,0,0.33,0.00,2
0.89,0,0,0.00,0,0.67,0.37,2
0.94,0,0.06,0.23,0.21,0.67,0.35,2
0.72,0,0,0.31,0.07,0,0.33,1
0.94,0,0,0.28,0.08,0.67,0.24,2
0.89,0,0,0.33,0.06,0,0.34,1
0.89,0,0,0.29,0.06,0.33,0.30,1
0.94,0,0,0.25,0,0,0.27,1
0.83,0.17,0.06,0.28,0.12,0.67,0.40,2
1,0,0,0.27,0.25,0.67,0.37,2
1,0,0,0.31,0,1,0.29,2
